Machine,Part Number,Loading Start,Processing Start,End Time,Processing Time
Bay3_Machine_3,90 06 100 155 06 90 12_Batch_1,3901.6666666666665,3911.6666666666665,4003.3333333333335,91.66666666666667
Bay2_Machine_2,MB8240-7300-FIN_Batch_65,3913.3333333333335,3923.3333333333335,4093.3333333333335,170.0
Bay2_Machine_3,MB8240-7300-FIN_Batch_66,3936.6666666666665,3946.6666666666665,4116.666666666667,170.0
Bay2_Machine_4,MB8240-7300-FIN_Batch_67,3946.6666666666665,3956.6666666666665,4126.666666666667,170.0
Bay3_Machine_1,90 06 100 155 06 90 12_Batch_2,3956.6666666666665,3966.6666666666665,4058.3333333333335,91.66666666666667
Bay2_Machine_5,MB8240-7300-FIN_Batch_68,3966.6666666666665,3976.6666666666665,4146.666666666667,170.0
Bay3_Machine_2,90 06 100 155 06 90 12_Batch_3,3980.0,3990.0,4081.6666666666665,91.66666666666667
Bay3_Machine_3,90 06 100 155 06 90 12_Batch_4,4003.3333333333335,4013.3333333333335,4105.0,91.66666666666667
Bay3_Machine_1,90 06 100 155 06 90 12_Batch_5,4058.3333333333335,4068.3333333333335,4160.0,91.66666666666667
Bay2_Machine_1,MB8240-7300-FIN_Batch_69,4070.0,4080.0,4250.0,170.0
Bay3_Machine_2,90 06 100 155 06 90 12_Batch_6,4081.6666666666665,4091.6666666666665,4183.333333333333,91.66666666666667
Bay2_Machine_2,MB8240-7300-FIN_Batch_70,4093.3333333333335,4103.333333333333,4273.333333333333,170.0
Bay3_Machine_3,90 06 100 155 06 90 12_Batch_7,4105.0,4115.0,4206.666666666667,91.66666666666667
Bay2_Machine_3,MB8240-7300-FIN_Batch_71,4116.666666666667,4126.666666666667,4296.666666666667,170.0
Bay2_Machine_4,MB8240-7300-FIN_Batch_72,4126.666666666667,4136.666666666667,4306.666666666667,170.0
Bay2_Machine_5,MB8250-7300-FIN_Batch_1,4146.666666666667,4156.666666666667,4326.666666666667,170.0
Bay3_Machine_1,12 07 100 065 08 90 12_Batch_1,4160.0,4170.0,4250.0,80.0
Bay3_Machine_2,12 07 100 065 08 90 12_Batch_2,4183.333333333333,4193.333333333333,4273.333333333333,80.0
Bay3_Machine_3,12 07 100 065 08 90 12_Batch_3,4206.666666666667,4216.666666666667,4296.666666666667,80.0
Bay2_Machine_1,MB8250-7300-FIN_Batch_2,4250.0,4260.0,4430.0,170.0
Bay3_Machine_1,12 07 100 065 08 90 12_Batch_4,4260.0,4270.0,4350.0,80.0
Bay2_Machine_2,MB8250-7300-FIN_Batch_3,4273.333333333333,4283.333333333333,4453.333333333333,170.0
Bay3_Machine_2,12 07 100 065 08 90 12_Batch_5,4283.333333333333,4293.333333333333,4373.333333333333,80.0
Bay2_Machine_3,MB9490-7800-FIN_Batch_1,4296.666666666667,4306.666666666667,4476.666666666667,170.0
Bay3_Machine_3,12 10 100 060 05 90 12_Batch_1,4306.666666666667,4316.666666666667,4316.666666666667,0.0
Bay2_Machine_4,MB9490-7800-FIN_Batch_2,4316.666666666667,4326.666666666667,4496.666666666667,170.0
Bay3_Machine_3,12 10 100 060 05 90 12_Batch_2,4326.666666666667,4336.666666666667,4336.666666666667,0.0
Bay2_Machine_5,MB9490-7800-FIN_Batch_3,4336.666666666667,4346.666666666667,4516.666666666667,170.0
Bay3_Machine_3,12 10 100 060 05 90 12_Batch_3,4346.666666666667,4356.666666666667,4356.666666666667,0.0
Bay3_Machine_1,12 10 100 060 05 90 12_Batch_4,4356.666666666667,4366.666666666667,4366.666666666667,0.0
Bay3_Machine_3,12 10 100 060 05 90 12_Batch_5,4366.666666666667,4376.666666666667,4376.666666666667,0.0
Bay3_Machine_1,12 10 100 060 05 90 12_Batch_6,4376.666666666667,4386.666666666667,4386.666666666667,0.0
Bay3_Machine_2,12 10 100 060 05 90 12_Batch_7,4386.666666666667,4396.666666666667,4396.666666666667,0.0
Bay3_Machine_3,12 10 100 060 05 90 12_Batch_8,4396.666666666667,4406.666666666667,4406.666666666667,0.0
Bay3_Machine_1,12 10 100 060 05 90 12_Batch_9,4406.666666666667,4416.666666666667,4416.666666666667,0.0
